id（企业代码）,区,企业性质（精简）,企业规模,企业性质,国家,省份,区域,法人代表实名认证,所属行业,供应商交付超期风险,供应质量风险,授信回款风险,工商变更信息,法院公告信息,CA办理情况
250,湖北/武汉市/东湖高新技术开发区,服务型用户,微型企业,服务型,CHN,湖北,华中,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
251,浙江/杭州市/其他,贸易型用户,微型企业,贸易型,CHN,浙江,华东,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
267,江苏/扬州市/高邮市,制造型用户,中型企业,生产加工型,CHN,江苏,华东,法人代表已实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,已办理CA
269,,贸易型用户,小型企业,贸易型,CHN,上海,华东,法人代表未实名认证,其他未列明专业技术服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
283,,服务型用户,中型企业,服务型,CHN,新疆,西部,法人代表未实名认证,管道和设备安装,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
284,,服务型用户,微型企业,服务型,CHN,上海,华东,法人代表未实名认证,工业设计服务,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
287,安徽/马鞍山市/花山区,贸易型用户,小型企业,贸易型,,安徽,华东,法人代表已实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
297,,制造型用户,中型企业,制造型,CHN,江苏,华东,法人代表未实名认证,通用仪器仪表制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
305,山东/淄博市/临淄区,,微型企业,,CHN,山东,北方,法人代表未实名认证,其他,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
311,新疆/昌吉州/昌吉市,贸易型用户,微型企业,产品代理型,CHN,新疆,西部,法人代表未实名认证,安全、消防用金属制品制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
321,四川/成都市/龙泉驿区,制造型用户,微型企业,制造型,CHN,四川,西部,法人代表未实名认证,其他金属加工机械制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
329,,制造型用户,微型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,食用植物油加工,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
336,,制造型用户,微型企业,制造型,CHN,河北,北方,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
344,,贸易型用户,小型企业,产品代理型,CHN,山西,北方,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
367,,服务型用户,小型企业,服务型,CHN,江苏,华东,法人代表未实名认证,软件和信息技术服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
372,,制造型用户,小型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,塑料零件及其他塑料制品制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
385,新疆/乌鲁木齐市/头屯河区,制造型用户,中型企业,生产加工型,CHN,新疆,西部,法人代表未实名认证,其他,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
405,湖北/鄂州市/鄂城区,贸易型用户,小型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
408,上海/上海/青浦区,贸易型用户,中型企业,贸易型,CHN,上海,华东,法人代表未实名认证,其他,年交付超期率高,无pscs质量异议发生,授信超期风险低,工商变更频次高,法院公告数高,已办理CA
416,山西/晋城市/城区,贸易型用户,小型企业,贸易型,CHN,山西,北方,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,已办理CA
421,,制造型用户,超大型企业,制造型,CHN,江苏,华东,法人代表未实名认证,金属丝绳及其制品制造,年交付未超期,无pscs质量异议发生,授信超期风险中,工商变更频次高,无法院公告,未办理CA
436,新疆/阿克苏地区/其他,,小型企业,,CHN,新疆,西部,法人代表未实名认证,其他,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
465,安徽/马鞍山市/雨山区,贸易型用户,微型企业,产品代理型,CHN,安徽,华东,法人代表已实名认证,石油化工,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
467,湖北/武汉市/青山区,服务型用户,中型企业,服务型,CHN,湖北,华中,法人代表未实名认证,工程和技术研究和试验发展,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
471,新疆/乌鲁木齐市/米东区,,小型企业,,CHN,新疆,西部,法人代表已实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,已办理CA
481,浙江/杭州市/余杭区,制造型用户,小型企业,生产加工型,CHN,浙江,华东,法人代表已实名认证,应用软件开发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
525,安徽/马鞍山市/雨山区,,微型企业,,CHN,安徽,华东,法人代表已实名认证,汽车及零配件批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
530,,制造型用户,小型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,橡胶零件制造,年交付未超期,,授信超期风险低,工商变更频次低,无法院公告,已办理CA
531,,制造型用户,大型企业,制造型,CHN,浙江,华东,法人代表未实名认证,连续搬运设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
566,上海/上海/嘉定区,,微型企业,,CHN,上海,华东,法人代表未实名认证,金属及金属矿批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
577,湖北/黄石市/西塞山区,制造型用户,微型企业,制造型,CHN,湖北,华中,法人代表已实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
581,河北/邯郸市/峰峰矿区,贸易型用户,微型企业,贸易型,CHN,河北,北方,法人代表未实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
590,江苏/泰州市/高港区,制造型用户,中型企业,制造型,CHN,江苏,华东,法人代表未实名认证,其他通用设备制造业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
596,,,小型企业,,CHN,天津,北方,法人代表未实名认证,批发业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,已办理CA
598,新疆/乌鲁木齐市/其他,贸易型用户,中型企业,贸易型,CHN,新疆,西部,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
602,湖北/武汉市/青山区,制造型用户,小型企业,制造型,CHN,湖北,华中,法人代表未实名认证,建筑工程,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
603,新疆/吐鲁番地区/托克逊县,贸易型用户,超大型企业,贸易型,CHN,新疆,西部,法人代表未实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
608,山西/太原市/小店区,贸易型用户,小型企业,产品代理型,CHN,山西,北方,法人代表未实名认证,农林牧渔技术推广服务,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
611,,制造型用户,微型企业,生产加工型,CHN,广东,南方,法人代表未实名认证,金属结构制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
612,安徽/马鞍山市/花山区,制造型用户,小型企业,制造型,CHN,安徽,华东,法人代表已实名认证,冶金建材,年交付未超期,,授信超期风险低,工商变更频次高,无法院公告,已办理CA
613,,贸易型用户,小型企业,贸易型,CHN,新疆,西部,法人代表未实名认证,其他科技推广服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
617,,,小型企业,,CHN,吉林,东北,法人代表未实名认证,其他专用设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
657,山西/晋城市/城区,,微型企业,,CHN,山西,北方,法人代表已实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
668,,制造型用户,中型企业,制造型,CHN,安徽,华东,法人代表未实名认证,其他金属加工机械制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
678,上海/上海/青浦区,,小型企业,,CHN,上海,华东,法人代表未实名认证,五金产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
700,湖北/武汉市/青山区,制造型用户,小型企业,制造型,CHN,湖北,华中,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
716,安徽/滁州市/天长市,服务型用户,小型企业,服务型,CHN,安徽,华东,法人代表已实名认证,其他技术推广服务,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
718,山东/威海市/其他,,微型企业,,CHN,山东,北方,法人代表未实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
736,浙江/杭州市/拱墅区,贸易型用户,小型企业,贸易型,CHN,浙江,华东,法人代表已实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
742,新疆/昌吉州/昌吉市,,小型企业,,CHN,新疆,西部,法人代表已实名认证,建材批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
751,宁夏/石嘴山市/大武口区,制造型用户,超大型企业,制造型,CHN,宁夏,西部,法人代表已实名认证,其他,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
755,,制造型用户,小型企业,制造型,CHN,河南,华中,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
770,安徽/马鞍山市/花山区,贸易型用户,微型企业,贸易型,CHN,安徽,华东,法人代表未实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
791,北京/北京/朝阳区,服务型用户,小型企业,服务型,CHN,北京,北方,法人代表未实名认证,电气设备批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
798,湖北/武汉市/江岸区,,微型企业,,CHN,湖北,华中,法人代表未实名认证,其他化工产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
802,,制造型用户,微型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,其他煤炭采选,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
814,山东/菏泽市/单县,制造型用户,中型企业,制造型,CHN,山东,北方,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
820,,贸易型用户,小型企业,产品代理型,CHN,四川,西部,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
827,,,小型企业,,CHN,河北,北方,法人代表未实名认证,建材批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
838,广东/湛江市/其他,贸易型用户,小型企业,贸易型,CHN,广东,南方,法人代表已实名认证,机械设备、五金产品及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
841,,服务型用户,超大型企业,服务型,CHN,江苏,华东,法人代表未实名认证,专用仪器仪表制造,年交付超期率高,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
852,,,微型企业,,CHN,河北,北方,法人代表未实名认证,五金产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
855,山西//,贸易型用户,小型企业,贸易型,CHN,山西,北方,法人代表已实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
873,,贸易型用户,微型企业,贸易型,CHN,山西,北方,法人代表未实名认证,摩托车及零配件批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
876,安徽/马鞍山市/花山区,,小型企业,,,安徽,华东,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
884,湖北/鄂州市/鄂城区,,中型企业,,CHN,湖北,华中,法人代表已实名认证,其他房屋建筑业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,法院公告数高,已办理CA
890,,服务型用户,小型企业,服务型,,云南,,法人代表未实名认证,其他软件开发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
893,河北/邢台市/其他,制造型用户,大型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,矿山机械制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
896,,制造型用户,小型企业,制造型,CHN,湖北,华中,法人代表未实名认证,采矿、冶金、建筑专用设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
897,,,小型企业,,CHN,山东,北方,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
909,,制造型用户,超大型企业,制造型,CHN,广东,南方,法人代表未实名认证,工程和技术研究和试验发展,年交付超期率高,,授信超期风险低,工商变更频次低,无法院公告,已办理CA
912,,贸易型用户,小型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,机械设备、五金产品及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,法院公告数中,未办理CA
924,浙江/宁波市/镇海区,,小型企业,,CHN,浙江,华东,法人代表已实名认证,金属及金属矿批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
929,湖北//,贸易型用户,中型企业,产品代理型,CHN,湖北,华中,法人代表已实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
951,,贸易型用户,微型企业,产品代理型,CHN,广东,南方,法人代表未实名认证,农业机械批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
958,,制造型用户,小型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,矿山机械制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
967,广东/广州市/花都区,,微型企业,,CHN,广东,南方,法人代表未实名认证,通信系统设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
968,安徽/马鞍山市/花山区,贸易型用户,小型企业,产品代理型,,安徽,华东,法人代表已实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
998,,制造型用户,小型企业,制造型,CHN,浙江,华东,法人代表未实名认证,包装装潢及其他印刷,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
1006,,制造型用户,小型企业,制造型,CHN,浙江,华东,法人代表未实名认证,食品、酒、饮料及茶生产专用设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
1022,上海/上海/崇明区,制造型用户,微型企业,制造型,CHN,上海,华东,法人代表未实名认证,电子和电工机械专用设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1024,,,小型企业,,CHN,山西,北方,法人代表未实名认证,其他未列明批发业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1037,,,微型企业,,CHN,河北,北方,法人代表未实名认证,机械零部件加工,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1040,上海/上海/宝山区,制造型用户,微型企业,制造型,CHN,上海,华东,法人代表未实名认证,其他未列明批发业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1066,,制造型用户,微型企业,制造型,CHN,河北,北方,法人代表未实名认证,其他通用零部件制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1076,湖北/武汉市/青山区,贸易型用户,中型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,建材批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1089,,贸易型用户,小型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,机械设备、五金产品及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1101,,制造型用户,超大型企业,制造型,CHN,河南,华中,法人代表未实名认证,研究和试验发展,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,法院公告数高,已办理CA
1104,,,微型企业,,CHN,河北,北方,法人代表未实名认证,建材批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1122,山东/泰安市/肥城市,服务型用户,大型企业,服务型,CHN,山东,北方,法人代表未实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1125,浙江/宁波市/象山县,贸易型用户,微型企业,贸易型,CHN,浙江,华东,法人代表未实名认证,文具用品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
1131,上海/上海/浦东新区,贸易型用户,超大型企业,贸易型,CHN,上海,华东,法人代表未实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险中,工商变更频次高,无法院公告,未办理CA
1146,湖北/武汉市/东西湖区,,小型企业,,CHN,湖北,华中,法人代表未实名认证,物流运输,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1148,安徽/马鞍山市/花山区,,微型企业,,CHN,安徽,华东,法人代表已实名认证,电子电器,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1151,重庆/重庆/九龙坡区,服务型用户,微型企业,服务型,CHN,重庆,,法人代表未实名认证,其他未列明信息技术服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1167,山西/太原市/杏花岭区,贸易型用户,小型企业,产品代理型,CHN,山西,北方,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1177,,,微型企业,,CHN,江苏,华东,法人代表未实名认证,批发业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
1179,山西/太原市/尖草坪区,制造型用户,小型企业,制造型,CHN,山西,北方,法人代表已实名认证,五金零售,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1181,上海/上海/浦东新区,,小型企业,,CHN,上海,华东,法人代表未实名认证,内河货物运输,年交付未超期,无pscs质量异议发生,授信超期风险中,工商变更频次高,无法院公告,未办理CA
1184,浙江/金华市/其他,制造型用户,超大型企业,制造型,CHN,浙江,华东,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险中,工商变更频次高,无法院公告,未办理CA
1211,,制造型用户,小型企业,制造型,CHN,湖北,华中,法人代表未实名认证,塑料包装箱及容器制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1223,,制造型用户,超大型企业,制造型,CHN,安徽,华东,法人代表未实名认证,通信系统设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1233,江苏/南京市/鼓楼区,贸易型用户,微型企业,产品代理型,CHN,江苏,华东,法人代表已实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
1240,,贸易型用户,微型企业,贸易型,CHN,河北,北方,法人代表未实名认证,五金零售,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1241,,制造型用户,小型企业,制造型,CHN,北京,北方,法人代表已实名认证,其他科技推广服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,已办理CA
1254,,贸易型用户,小型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,工程和技术研究和试验发展,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1263,江苏/泰州市/姜堰区,制造型用户,超大型企业,制造型,CHN,江苏,华东,法人代表未实名认证,金属丝绳及其制品制造,年交付超期率高,,授信超期风险低,工商变更频次低,无法院公告,已办理CA
1275,山西/长治市/城区,贸易型用户,微型企业,贸易型,CHN,山西,北方,法人代表未实名认证,冶金建材,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1276,安徽/马鞍山市/雨山区,贸易型用户,小型企业,产品代理型,CHN,安徽,华东,法人代表未实名认证,电子电器,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
1287,湖北/武汉市/汉阳区,制造型用户,小型企业,制造型,CHN,湖北,华中,法人代表已实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
1295,辽宁/抚顺市/其他,制造型用户,小型企业,制造型,CHN,辽宁,东北,法人代表已实名认证,其他通用设备制造业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1307,湖北/武汉市/武昌区,贸易型用户,小型企业,贸易型,CHN,湖北,华中,法人代表未实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1314,江苏/徐州市/其他,制造型用户,小型企业,制造型,CHN,江苏,华东,法人代表未实名认证,专用设备制造业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,已办理CA
1318,,制造型用户,中型企业,制造型,CHN,河北,北方,法人代表未实名认证,泵及真空设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1337,,制造型用户,微型企业,生产加工型,CHN,河北,北方,法人代表未实名认证,建材批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1357,安徽/马鞍山市/花山区,,微型企业,,CHN,安徽,华东,法人代表已实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1359,安徽/马鞍山市/花山区,贸易型用户,微型企业,贸易型,CHN,安徽,华东,法人代表已实名认证,金属及金属矿批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1372,,制造型用户,小型企业,生产加工型,CHN,辽宁,东北,法人代表未实名认证,黑色金属冶炼和压延加工业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
1373,,,微型企业,,CHN,湖北,,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
1377,山西/太原市/杏花岭区,贸易型用户,小型企业,贸易型,CHN,山西,北方,法人代表已实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
